model,h097,h100,h103,h106,h109,h112,h114,average
rf_cv_m_/r_/rf_cv_per4g_r__,0.59,0.608,0.673,0.682,0.738,0.78,0.729,0.6857142857142857
rf_cv_m_/r_/rf_cv_per4e_r__,0.589,0.61,0.658,0.666,0.728,0.786,0.736,0.6818571428571427
rf_cv_m_/r_/rf_cv_per3_r__,0.577,0.61,,0.67,0.719,0.773,0.727,0.6793333333333332
rf_cv_m_/r_/rf_cv_per2_r__,,0.597,0.677,0.645,0.742,0.765,0.735,0.6935000000000001
rf_bayram_baseline,0.605,0.62,0.672,0.662,0.739,0.759,0.735,0.6845714285714287
nnmulti_relu_m_/r_/nnmulti_relu__bayram_1_1_new,0.592,0.633,0.7,0.662,0.742,0.787,0.774,0.6985714285714286
nnmulti_m_/r_/nnmulti__max_balanced_0_new,0.6564019448946515,0.6747953008187967,0.7216887417218543,0.7305358948432761,0.7700795947901592,0.7910554561717352,0.7814650934119961,0.7322888609503527
nnmulti_m_/r_/nnmulti__bayram_new,0.582,0.628,0.683,0.656,0.751,0.771,0.755,0.6894285714285714
nnmulti_05_m_/r_/nnmulti_05__max_balanced_0_new,0.6507293354943274,0.6698113207547169,0.7172185430463576,0.7317155375800471,0.7704413892908828,0.7881932021466905,0.7822025565388397,0.7300445549788374
nnmulti2_tanh_m_/r_/nnmulti2_tanh__bayram_1_1_new,0.619,0.63,0.718,0.694,0.755,0.802,0.779,0.7138571428571429
nnmulti2_relu_m_/r_/nnmulti2_relu__bayram_1_1_new,0.611,0.638,0.711,0.688,0.767,0.798,0.791,0.7148571428571427
nn20nd_tfidf_m_/r_/nn20nd_tfidf__bayram_new,0.601,0.636,0.699,0.678,0.752,0.776,0.781,0.7032857142857142
nn20nd_reg_m_/r_/nn20nd_reg__bayram_1_1_new,0.606,0.644,0.707,0.671,0.759,0.775,0.77,0.7045714285714286
nn20nd_m_/r_/nn20nd_r___max_balanced_0,0.6432333873581848,0.6810252758988964,0.7205298013245033,0.7285136501516684,0.7791244573082489,0.7926654740608229,0.7905604719764012,0.733664645439818
nn20nd_m_/r_/nn20nd_r__,0.603,0.643,0.71,0.665,0.766,0.78,0.769,0.7051428571428572
nn20nd_m_/r_/nn20nd__max_balanced_0_new,0.6432333873581848,0.6810252758988964,0.7205298013245033,0.7285136501516684,0.7791244573082489,0.7926654740608229,0.7905604719764012,0.733664645439818
nn20nd_m_/r_/nn20nd__bayram_new,0.608,0.635,0.709,0.658,0.763,0.783,0.766,0.7031428571428571
nn20nd_m_/r_/nn20nd__bayram_3_7_new,0.62,0.643,0.724,0.689,0.776,0.805,0.797,0.7219999999999999
nn20nd_m_/r_/nn20nd__bayram_1_1_new,0.633,0.655,0.733,0.695,0.774,0.801,0.796,0.7267142857142856
nn20nd_m_/r_/nn20nd__3gram_max_balanced_0_new,0.6705834683954619,0.6977572089711641,0.7397350993377484,0.7620492079541624,0.7954052098408104,0.8173524150268336,0.81047197640118,0.7561935122753374
nn20nd_m_/r_/nn20nd__2gram_max_balanced_0_new,0.6527552674230146,0.6991812032751868,0.7392384105960265,0.7581732389619144,0.7937771345875543,0.8153846153846154,0.8045722713864307,0.7518688773735347
nn20nd_bayram_baseline,0.573,0.597,0.671,0.638,0.704,0.739,0.738,0.6657142857142857
nn20hd_m_/r_/nn20hd_r___max_balanced_0,0.6485008103727715,0.6797792808828764,0.7192052980132451,0.71840242669363,0.7793053545586107,0.7923076923076923,0.7908062930186824,0.7326153079782154
nn20d_tfidf_m_/r_/nn20d_tfidf__bayram_new,0.597,0.628,0.697,0.68,0.747,0.791,0.777,0.7024285714285715
nn20d_reg_m_/r_/nn20d_reg__bayram_1_1_new,0.534,0.549,0.642,0.619,0.695,0.697,0.674,0.63
nn20d_m_/r_/nn20d_r__,0.617,0.659,0.715,0.669,0.759,0.799,0.762,0.7114285714285715
nn20d_m_/r_/nn20d__max_balanced_0_new,0.6485008103727715,0.6797792808828764,0.7192052980132451,0.71840242669363,0.7793053545586107,0.7923076923076923,0.7908062930186824,0.7326153079782154
nn20d_m_/r_/nn20d__bayram_new,0.617,0.66,0.714,0.665,0.749,0.782,0.764,0.7072857142857144
nn20d_m_/r_/nn20d__bayram_3_7_new,0.621,0.644,0.716,0.684,0.757,0.794,0.79,0.7151428571428572
nn20d_m_/r_/nn20d__bayram_1_1_new,0.629,0.642,0.741,0.691,0.769,0.796,0.795,0.7232857142857142
nn20d_m_/r_/nn20d__3gram_max_balanced_0_new,0.6732171799027553,0.7006051975792097,0.746523178807947,0.7696326255476913,0.8011939218523878,0.8228980322003577,0.8163716814159292,0.7614916881866111
nn20d_m_/r_/nn20d__2gram_max_balanced_0_new,0.6661264181523501,0.703631185475258,0.75,0.7655881361644759,0.8008321273516642,0.8196779964221824,0.8200589970501475,0.7608449800880112
nn20d_bayram_baseline,0.619,0.647,0.7,0.678,0.747,0.78,0.774,0.7064285714285715
nn1000nd_tfidf_m_/r_/nn1000nd_tfidf__bayram_new,0.582,0.615,0.7,0.665,0.753,0.804,0.765,0.6977142857142857
nn1000nd_reg_m_/r_/nn1000nd_reg__bayram_1_1_new,0.591,0.621,0.703,0.665,0.723,0.777,0.738,0.6882857142857143
nn1000nd_m_/r_/nn1000nd_r___max_balanced_0,0.6543760129659644,0.6781772872908508,0.7137417218543046,0.7301988540613414,0.7744211287988423,0.7912343470483005,0.7794985250737463,0.7316639824419072
nn1000nd_m_/r_/nn1000nd_r__,0.61,0.65,0.712,0.667,0.745,0.781,0.76,0.7035714285714285
nn1000nd_m_/r_/nn1000nd__max_balanced_0_new,0.6541734197730956,0.6790672837308651,0.7142384105960264,0.7295247724974722,0.7736975397973951,0.7908765652951699,0.7797443461160275,0.731617476829436
nn1000nd_m_/r_/nn1000nd__bayram_new,0.597,0.642,0.711,0.673,0.747,0.777,0.761,0.7011428571428571
nn1000nd_m_/r_/nn1000nd__bayram_3_7_new,0.623,0.635,0.703,0.68,0.758,0.802,0.797,0.7140000000000001
nn1000nd_m_/r_/nn1000nd__bayram_1_1_new,0.603,0.647,0.718,0.686,0.762,0.792,0.793,0.7144285714285715
nn1000nd_m_/r_/nn1000nd__3gram_max_balanced_0_new,0.6701782820097245,0.6924172303310787,0.7450331125827815,0.5,0.8006512301013025,0.8148479427549195,0.8080137659783677,0.7187345091083107
nn1000nd_m_/r_/nn1000nd__2gram_max_balanced_0_new,0.6667341977309562,0.6959772160911356,0.7422185430463576,0.7627232895180317,0.7926917510853835,0.8116279069767441,0.8055555555555556,0.7539326371434519
nn1000nd_bayram_baseline,0.566,0.585,0.669,0.635,0.689,0.731,0.724,0.657
nn1000hd_tfidf_m_/r_/nn1000hd_tfidf__bayram_new,0.597,0.637,0.699,0.664,0.76,0.8,0.775,0.7045714285714286
nn1000hd_reg_m_/r_/nn1000hd_reg__bayram_1_1_new,0.576,0.564,0.62,0.648,0.697,0.722,0.663,0.6414285714285715
nn1000hd_m_/r_/nn1000hd_r___max_balanced_0,0.6448541329011345,0.6794232823068708,0.7271523178807947,0.7347489046174587,0.7765918958031838,0.7976744186046512,0.795968534906588,0.7366304981458116
nn1000hd_m_/r_/nn1000hd__max_balanced_0_new,0.6458670988654781,0.6788892844428622,0.7274834437086093,0.7318840579710145,0.7836468885672938,0.7926654740608229,0.7949852507374632,0.7364887854790778
nn1000hd_m_/r_/nn1000hd__bayram_new,0.594,0.655,0.712,0.669,0.76,0.794,0.769,0.7075714285714285
nn1000hd_m_/r_/nn1000hd__bayram_3_7_new,0.628,0.653,0.726,0.695,0.769,0.801,0.792,0.7234285714285714
nn1000hd_m_/r_/nn1000hd__bayram_1_1_new,0.626,0.647,0.722,0.685,0.774,0.807,0.802,0.7232857142857144
nn1000hd_m_/r_/nn1000hd__3gram_max_balanced_0_new,0.6667341977309562,0.7034531861872553,0.7486754966887417,0.5,0.8024602026049205,0.8164579606440071,0.8109636184857424,0.7212492374773748
nn1000hd_m_/r_/nn1000hd__2gram_max_balanced_0_new,0.6677471636952999,0.7080811676753292,0.7410596026490066,0.7655881361644759,0.7959479015918958,0.8212880143112701,0.8153883972468043,0.7593000547620117
nn1000d_m_/r_/nn1000d_r__,0.603,0.654,0.72,0.657,0.757,0.8,0.767,0.7082857142857144
nn1000d_bayram_baseline,0.611,0.635,0.698,0.674,0.744,0.777,0.768,0.701
mnnb_tfidf_m_/r_/mnnb_tfidf__bayram_new,0.577,0.591,0.676,0.667,0.717,0.767,0.727,0.6745714285714286
mnnb_m_/r_/mnnb_r___max_balanced_0,0.6217585089141004,0.619437522249911,0.6622516556291391,0.6799797775530839,0.7346237337192475,0.7330948121645796,0.7323008849557522,0.6833495564551162
mnnb_m_/r_/mnnb_r__,0.568,0.581,0.648,0.653,0.678,0.708,0.713,0.6498571428571429
mnnb_m_/r_/mnnb_a0_r__,0.568,0.58,0.647,0.654,0.68,0.71,0.713,0.6502857142857142
mnnb_m_/r_/mnnb__bayram_new,0.568,0.58,0.647,0.654,0.68,0.71,0.713,0.6502857142857142
mnnb_m_/r_/mnnb__bayram_3_7_new,0.571,0.592,0.655,0.679,0.688,0.734,0.725,0.6634285714285714
mnnb_m_/r_/mnnb__bayram_1_1_new,0.567,0.579,0.621,0.646,0.68,0.697,0.674,0.6377142857142858
mnnb_m_/r_/mnnb__3gram_max_balanced_0_new,0.6335089141004863,0.6290494838020648,0.669205298013245,0.7099764071452646,0.7541606367583212,0.7504472271914132,0.7595870206489675,0.7008478553799662
mnnb_m_/r_/mnnb__2gram_max_balanced_0_new,0.6268233387358185,0.631185475258099,0.6673841059602649,0.7037411526794742,0.7451157742402316,0.7441860465116279,0.7514749262536873,0.6957015456627433
lstm_word2vec_m_/r_/lstm_word2vec__bayram_1_1_new,0.503,0.539,0.591,0.556,0.639,,,0.5656000000000001
lstm_m_/r_/lstm__max_balanced_0_new,0.5964343598055105,0.6285154859380563,0.6852649006622517,0.6988540613414224,0.7456584659913169,0.7724508050089446,0.73992133726647,0.6952999165734246
lstm_m_/r_/lstm__bayram_new,0.504,0.535,0.607,0.581,0.628,0.702,0.692,0.6070000000000001
lstm_m_/r_/lstm__bayram,0.504,0.535,,,,,,0.5195000000000001
lstm_glove_m_/r_/lstm_glove__bayram_new,0.542,0.527,0.559,0.528,0.542,0.55,0.605,0.5504285714285715
lstm_glove_m_/r_/lstm_glove__bayram_1_1_new,0.537,0.548,0.576,0.54,0.654,0.641,0.641,0.5910000000000001
lstm_glove_50_m_/r_/lstm_glove_50__bayram_1_1_new,0.537,0.548,0.576,0.54,0.654,0.649,0.641,0.5921428571428571
lstm_glove_300_m_/r_/lstm_glove_300__bayram_1_1_new,0.546,0.524,0.596,0.544,0.645,0.664,0.686,0.6007142857142858
lstm_glove_200_m_/r_/lstm_glove_200__bayram_1_1_new,0.551,0.501,0.564,0.585,0.652,0.636,0.674,0.5947142857142858
lstm_glove_100_m_/r_/lstm_glove_100__bayram_1_1_new,0.554,0.544,0.588,0.521,0.657,0.646,0.679,0.5984285714285714
lstm_drop_m_/r_/lstm_drop__bayram_1_1_new,0.512,0.593,0.636,0.562,0.705,0.693,0.715,0.6308571428571429
lstm_drop_glove_32_50_m_/r_/lstm_drop_glove_32_50__bayram_1_1_new,0.549,0.516,0.59,0.501,0.539,0.612,0.527,0.5477142857142857
lstm_drop_glove_32_100_m_/r_/lstm_drop_glove_32_100__bayram_1_1_new,0.527,0.501,0.601,0.608,0.678,0.77,0.539,0.6034285714285714
lstm_drop_128_l350_m_/r_/lstm_drop_128_l350__bayram_1_1_new,0.518,0.552,0.589,0.555,0.661,0.686,0.725,0.6122857142857142
lstm_drop_128_b32_m_/r_/lstm_drop_128_b32__bayram_1_1_new,0.55,0.523,0.575,0.541,0.654,0.69,0.729,0.6088571428571428
lstm2_drop_bidi_128_05_m_/r_/lstm2_drop_bidi_128_05__bayram_1_1_new,0.542,0.567,0.627,0.591,0.663,0.701,0.722,0.6304285714285714
lstm2_drop_bidi_128_05_l32_m_/r_/lstm2_drop_bidi_128_05_l32__bayram_1_1_new,0.551,0.585,0.65,0.592,0.7,0.734,0.723,0.6478571428571429
lstm2_drop_128_05_m_/r_/lstm2_drop_128_05__bayram_1_1_new,0.5,0.561,0.629,0.568,0.659,0.661,0.678,0.608
lstm2_drop_128_05_l32_m_/r_/lstm2_drop_128_05_l32__bayram_1_1_new,0.518,0.575,0.641,0.608,0.669,0.732,0.732,0.6392857142857143
lstm2_bidi_128_m_/r_/lstm2_bidi_128__bayram_1_1_new,0.524,0.531,0.565,0.59,0.6,0.614,0.663,0.5838571428571429
logistic_tfidf_m_/r_/logistic_tfidf__bayram_new,0.597,0.642,0.698,0.678,0.758,0.777,0.775,0.7035714285714285
logistic_test_m_/r_/logistic_test__max_balanced_0,0.6497163695299838,0.6872552509789961,0.7269867549668875,0.7337377822716549,0.7821997105643994,0.7967799642218247,0.7957227138643068,0.7389140780568647
logistic_sig_m_/r_/logistic_sig__bayram_new,0.609,0.655,0.708,0.665,0.753,0.781,0.762,0.7047142857142857
logistic_m_/r_/logistic_r___max_balanced_0,0.6497163695299838,0.6872552509789961,0.7269867549668875,0.7337377822716549,0.7821997105643994,0.7967799642218247,0.7957227138643068,0.7389140780568647
logistic_m_/r_/logistic_r___3gram_bayram,0.617,0.639,0.737,0.7,0.774,0.805,0.779,0.7215714285714284
logistic_m_/r_/logistic_r___2gram_bayram,0.62,0.657,0.735,0.698,0.773,0.801,0.778,0.7231428571428571
logistic_m_/r_/logistic_r__,0.593,0.647,0.708,0.668,0.765,0.79,0.765,0.7051428571428572
logistic_m_/r_/logistic__max_balanced_0_new,0.6497163695299838,0.6872552509789961,0.7269867549668875,0.7337377822716549,0.7821997105643994,0.7967799642218247,0.7957227138643068,0.7389140780568647
logistic_m_/r_/logistic__bayram_new,0.593,0.647,0.708,0.668,0.765,0.79,0.765,0.7051428571428572
logistic_m_/r_/logistic__bayram_3_7_new,0.628,0.644,0.727,0.68,0.776,0.801,0.796,0.7217142857142858
logistic_m_/r_/logistic__bayram_1_1_new,0.627,0.639,0.727,0.685,0.777,0.803,0.798,0.7222857142857143
logistic_m_/r_/logistic__3gram_max_balanced_0_new,0.6762560777957861,0.7055891776432894,0.7498344370860928,0.7681159420289855,0.8069826338639653,0.8275491949910555,0.8163716814159292,0.7643855921178719
logistic_m_/r_/logistic__2gram_max_balanced_0_new,0.6655186385737439,0.7091491634033464,0.7468543046357616,0.7694641051567239,0.8040882778581766,0.820035778175313,0.8176007866273353,0.7618158649186287
logistic_bayram_baseline,0.615,0.64,0.701,0.675,0.755,0.774,0.772,0.7045714285714286
lda_tfidf_m_/r_/lda_tfidf__bayram_new,0.531,0.556,0.605,0.584,0.58,0.63,0.658,0.592
lda_m_/r_/ldalsqr_r__,0.532,0.559,0.6,0.582,0.584,0.636,0.661,0.5934285714285714
lda_m_/r_/lda_r___max_balanced_0,0.6116288492706645,0.6397294410822356,0.6801324503311258,0.6975058982136838,0.7320911722141823,0.7597495527728085,0.7485250737463127,0.695623205375859
lda_m_/r_/lda_r__,0.532,0.559,0.6,0.582,0.584,0.636,0.661,0.5934285714285714
lda_m_/r_/lda__bayram_new,0.532,0.559,0.6,0.582,0.584,0.636,0.661,0.5934285714285714
lda_m_/r_/lda__bayram_3_7_new,0.563,0.578,0.663,0.642,0.685,0.704,0.681,0.6451428571428571
lda_m_/r_/lda__bayram_1_1_new,0.545,0.591,0.626,0.605,0.663,0.677,0.652,0.6227142857142857
lda_m_/r_/lda__3gram_max_balanced_0_new,0.5212722852512156,0.5459238163047347,,,,,,0.5335980507779752
knn_tfidf_m_/r_/knn_tfidf__bayram_new,0.59,0.604,0.677,0.664,0.704,0.732,0.75,0.6744285714285715
knn_m_/r_/knn_r__,0.587,0.612,0.655,0.64,0.701,0.748,0.715,0.6654285714285714
knn_m_/r_/knn__bayram_new,0.577,0.611,0.644,0.663,0.701,0.749,0.715,0.6657142857142857
knn_m_/r_/knn__bayram_3_7_new,0.562,0.609,0.632,0.661,0.7,0.732,0.707,0.6575714285714286
knn_m_/r_/knn__bayram_1_1_new,0.563,0.604,0.633,0.662,0.695,0.736,0.689,0.6545714285714286
knn_m_/r_/knn__3gram_max_balanced_0_new,0.6375607779578606,0.6831612673549305,0.7283112582781457,0.7435119649477587,0.7744211287988423,0.7862254025044723,0.7706489675516224,0.7319772524848046
knn_m_/r_/knn__2gram_max_balanced_0_new,0.6458670988654781,0.6717693129227483,0.7240066225165563,0.7391304347826086,0.7793053545586107,0.7853309481216458,0.7669616519174042,0.7303387748121503
cnn_m_/r_/cnn__bayram_new,0.56,0.531,0.579,0.5,0.522,0.554,0.524,0.5385714285714286
cnn_m_/r_/cnn__bayram_1_1_new,0.514,0.537,0.615,0.56,0.665,0.695,0.557,0.5918571428571429
cnn_32_5_m_/r_/cnn_32_5__bayram_1_1_new,0.505,,,,,,,0.505
cnn2_64_7_m_/r_/cnn2_64_7__bayram_1_1_new,0.495,,,,,,,0.495
cnn2_32_7_m_/r_/cnn2_32_7__bayram_1_1_new,0.512,,,,,,,0.512
cnn2_32_5_m_/r_/cnn2_32_5__bayram_1_1_new,0.514,,,,,,,0.514
cnn2_256_7_nd_m_/r_/cnn2_256_7_nd__bayram_1_1_new,0.531,,,,,,,0.531
cnn2_256_7_nd_e64_s1_m_/r_/cnn2_256_7_nd_e64_s1__bayram_1_1_new,0.544,,,,,,,0.544
cnn2_256_7_nd_e64_m_/r_/cnn2_256_7_nd_e64__bayram_1_1_new,0.518,,,,,,,0.518
cnn2_256_7_e64_s1_m_/r_/cnn2_256_7_e64_s1__bayram_1_1_new,0.557,0.548,0.592,0.677,0.71,0.707,0.751,0.6488571428571428
cnn2_256_7_e128_s1_d95_m_/r_/cnn2_256_7_e128_s1_d95__bayram_1_1_new,0.583,0.508,0.621,0.656,0.703,0.726,0.727,0.6462857142857142
cnn2_128_7_nd_m_/r_/cnn2_128_7_nd__bayram_1_1_new,0.544,,,,,,,0.544
cnn2_128_7_nd_e64_m_/r_/cnn2_128_7_nd_e64__bayram_1_1_new,0.525,,,,,,,0.525
cnn2_128_7_e64_s1_m_/r_/cnn2_128_7_e64_s1__bayram_1_1_new,0.579,0.584,0.652,0.68,0.726,0.753,0.78,0.6791428571428572
cnn2_128_7_e128_s1_m_/r_/cnn2_128_7_e128_s1__bayram_1_1_new,0.603,0.617,0.681,0.675,0.726,0.774,0.772,0.6925714285714287
cnn2_128_7_e128_s1_d95_m_/r_/cnn2_128_7_e128_s1_d95__bayram_1_1_new,0.549,0.585,0.666,0.649,0.712,0.743,0.754,0.6654285714285714
cnn2_128_7_e128_s1_d2_95_m_/r_/cnn2_128_7_e128_s1_d2_95__bayram_1_1_new,0.554,0.504,0.628,0.61,0.679,0.724,0.704,0.6289999999999999
cnn2_128_7_e128_s1_d2_10_95_m_/r_/cnn2_128_7_e128_s1_d2_10_95__bayram_1_1_new,0.571,0.549,0.633,0.658,0.717,0.517,0.528,0.5961428571428572
boost_tfidf_m_/r_/boost_tfidf__bayram_new,0.546,0.596,0.637,0.632,0.688,0.693,0.682,0.6391428571428571
boost_m_/r_/boostcv_r__,0.561,0.6,0.648,0.621,0.696,0.709,0.693,0.6468571428571429
boost_m_/r_/boost_r___max_balanced_0,0.5792139384116693,0.6050195799216803,0.6347682119205298,0.6417256488035052,0.6760130246020261,0.6962432915921288,0.6747787610619469,0.6439660651876409
boost_m_/r_/boost_r__,0.6,0.627,0.703,0.659,0.743,0.776,0.733,0.6915714285714285
boost_m_/r_/boost__bayram_new,0.564,0.583,0.593,0.621,0.694,0.693,0.659,0.6295714285714286
boost_m_/r_/boost__bayram_3_7_new,0.563,0.594,0.599,0.623,0.684,0.705,0.666,0.6334285714285715
boost_m_/r_/boost__bayram_1_1_new,0.567,0.586,0.578,0.623,0.67,0.691,0.696,0.6301428571428571
boost_m_/r_/boost__3gram_max_balanced_0_new,0.6014991896272285,0.6189035243859025,0.6475165562913907,0.6616110549376475,0.6841534008683068,0.6935599284436493,0.6787118977384464,0.6551365074703673
boost_m_/r_/boost__2gram_max_balanced_0_new,0.5972447325769854,0.6221075115699537,0.6389072847682119,0.6521739130434783,0.6819826338639653,0.6899821109123435,0.6809242871189773,0.6519032105505593
